Index,State,2021 - No.EV Charge Stations,2021 - No. EV charge outlets
3,Alabama,276 , 680
5,Alaska,52 , 94
7,Arizona,890 ," 2,257"
9,Arkansas,160 , 453
11,California,"14,616 "," 41,225"
13,Colorado,"1,614 "," 3,978"
15,Connecticut,533 ," 1,430"
17,Delaware,134 , 314
19,District of Columbia,289 , 822
21,Florida,"2,624 "," 6,723"
23,Georgia,"1,579 "," 3,939"
25,Hawaii,385 , 833
27,Idaho,139 , 345
29,Illinois,"1,077 "," 2,756"
31,Indiana,354 , 948
33,Iowa,280 , 582
35,Kansas,493 ," 1,017"
37,Kentucky,222 , 527
39,Louisiana,159 , 385
41,Maine,295 , 629
43,Maryland,"1,250 "," 3,416"
45,Massachusetts,"2,175 "," 4,871"
47,Michigan,834 ," 1,833"
49,Minnesota,589 ," 1,390"
51,Mississippi,112 , 433
53,Missouri,"1,053 "," 2,200"
55,Montana,75 , 212
57,Nebraska,182 , 377
59,Nevada,447 ," 1,353"
61,New Hampshire,164 , 351
63,New Jersey,745 ," 2,008"
65,New Mexico,187 , 457
67,New York,"2,974 "," 7,621"
69,North Carolina,"1,117 "," 2,784"
71,North Dakota,61 , 139
73,Ohio,959 ," 2,203"
75,Oklahoma,313 ," 1,088"
77,Oregon,995 ," 2,439"
79,Pennsylvania,"1,143 "," 2,665"
81,Rhode Island,255 , 628
83,South Carolina,384 , 862
85,South Dakota,57 , 156
87,Tennessee,691 ," 1,647"
89,Texas,"2,316 "," 5,486"
91,Utah,908 ," 1,978"
93,Vermont,328 , 871
95,Virginia,"1,139 "," 3,301"
97,Washington,"1,775 "," 4,328"
99,West Virginia,111 , 307
101,Wisconsin,474 , 949
103,Wyoming,70 , 184
