Index,State,Actual FY 2022,Estimated FY 2023,Estimated FY 2024,Estimated FY 2025,Estimated FY 2026,Estimated Total
0,Alabama,11738801,16892267,16892384,16892399,16892434,79308285
1,Alaska,7758240,11164195,11164272,11164282,11164305,52415294
2,Arizona,11320762,16290704,16290816,16290830,16290864,76483976
3,Arkansas,8010850,11527704,11527783,11527793,11527817,54121947
4,California,56789406,81720595,81721161,81721230,81721400,383673792
5,Colorado,8368277,12042045,12042129,12042139,12042164,56536754
6,Connecticut,7771342,11183049,11183127,11183136,11183159,52503813
7,Delaware,2617339,3766380,3766406,3766409,3766417,17682951
8,District of Columbia,2468807,3552641,3552666,3552669,3552676,16679459
9,Florida,29315442,42185251,42185543,42185579,42185666,198057481
10,Georgia,19978342,28749059,28749258,28749282,28749342,134975283
11,Hawaii,2616956,3765829,3765855,3765858,3765866,17680364
12,Idaho,4425511,6368360,6368404,6368409,6368422,29899106
13,Illinois,21998178,31655626,31655845,31655872,31655938,148621459
14,Indiana,14743125,21215523,21215670,21215688,21215732,99605738
15,Iowa,7604168,10942483,10942559,10942568,10942591,51374369
16,Kansas,5847059,8413984,8414042,8414049,8414067,39503201
17,Kentucky,10280470,14793712,14793815,14793827,14793858,69455682
18,Louisiana,10859512,15626960,15627068,15627081,15627114,73367735
19,Maine,2856158,4110043,4110072,4110075,4110084,19296432
20,Maryland,9298080,13380042,13380134,13380146,13380174,62818576
21,Massachusetts,9397238,13522732,13522825,13522837,13522865,63488497
22,Michigan,16290764,23442593,23442756,23442775,23442824,110061712
23,Minnesota,10089418,14518786,14518886,14518899,14518929,68164918
24,Mississippi,7483268,10768508,10768582,10768591,10768614,50557563
25,Missouri,14647722,21078237,21078383,21078400,21078444,98961186
26,Montana,6348350,9135347,9135410,9135418,9135437,42889962
27,Nebraska,4472243,6435608,6435652,6435658,6435671,30214832
28,Nevada,5618414,8084961,8085017,8085024,8085041,37958457
29,New Hampshire,2556450,3678760,3678786,3678789,3678796,17271581
30,New Jersey,15448790,22230983,22231137,22231156,22231202,104373268
31,New Mexico,5681977,8176429,8176486,8176493,8176510,38387895
32,New York,25971644,37373488,37373747,37373779,37373856,175466514
33,North Carolina,16137196,23221608,23221768,23221788,23221836,109024196
34,North Dakota,3841352,5527749,5527787,5527792,5527804,25952484
35,Ohio,20739853,29844883,29845089,29845114,29845177,140120116
36,Oklahoma,9812934,14120923,14121021,14121032,14121062,66296972
37,Oregon,7733679,11128851,11128928,11128937,11128961,52249356
38,Pennsylvania,25386631,36531648,36531901,36531932,36532008,171514120
39,Puerto Rico,2020490,2915577,2909472,2908724,2906890,13661153
40,Rhode Island,3383835,4869376,4869410,4869414,4869424,22861459
41,South Carolina,10360855,14909387,14909490,14909503,14909534,69998769
42,South Dakota,4363463,6279072,6279116,6279121,6279134,29479906
43,Tennessee,13074884,18814906,18815036,18815052,18815091,88334969
44,Texas,60356706,86853980,86854582,86854655,86854836,407774759
45,Utah,5372731,7731421,7731474,7731481,7731497,36298604
46,Vermont,3140247,4518851,4518882,4518886,4518895,21215761
47,Virginia,15745244,22657583,22657740,22657759,22657806,106376132
48,Washington,10489110,15093948,15094052,15094065,15094096,70865271
49,West Virginia,6761785,9730285,9730352,9730361,9730381,45683164
50,Wisconsin,11642061,16753057,16753173,16753188,16753222,78654701
51,Wyoming,3963841,5704011,5704051,5704056,5704067,26780026
