State,Total EVs (2),Level 1 Ports (1),Level 2 Ports (1),DCFC Ports (1),Total Ports (1),Ratio: EVs to Charger Ports
California,930811,280,27762,6143,34185,27.23
Florida,108749,35,4557,1052,5644,19.27
New York,106024,15,5774,758,6547,16.19
Washington,80397,80,2985,700,3765,21.35
Texas,78585,32,4124,790,4946,15.89
New Jersey,66555,14,1095,501,1610,41.34
Georgia,53416,200,2994,560,3754,14.23
Massachusetts,51834,13,3726,371,4110,12.61
Illinois,49746,13,1786,452,2251,22.10
Colorado,47633,61,2788,506,3355,14.20
Oregon,44170,44,1680,418,2142,20.62
Arizona,43171,1,1542,409,1952,22.12
Pennsylvania,42611,14,1968,456,2438,17.48
Maryland,41893,21,2290,504,2815,14.88
Virginia,39724,51,1786,670,2507,15.85
North Carolina,32782,15,1838,434,2287,14.33
Michigan,31753,27,1227,388,1642,19.34
Ohio,31654,7,1467,333,1807,17.52
Connecticut,23353,21,909,286,1216,19.20
Minnesota,20393,71,950,205,1226,16.63
Hawaii,19243,5,662,84,751,25.62
Nevada,18441,4,906,299,1209,15.25
Utah,16521,2,1561,195,1758,9.40
Wisconsin,15415,78,653,150,881,17.50
Tennessee,14891,10,1152,219,1381,10.78
Missouri,14684,5,1825,215,2045,7.18
Indiana,13995,0,589,241,830,16.86
Oklahoma,10712,6,315,654,975,10.99
South Carolina,8982,3,599,167,769,11.68
New Hampshire,7171,5,211,89,305,23.51
Vermont,7061,71,685,75,831,8.50
Maine,6486,6,404,127,537,12.08
District of Columbia,6133,18,614,39,671,9.14
Alabama,6081,0,386,94,480,12.67
Kansas,5848,2,825,110,937,6.24
Iowa,5828,23,343,157,523,11.14
Kentucky,5458,8,308,83,399,13.68
New Mexico,4842,4,268,125,397,12.20
Delaware,4733,2,180,89,271,17.46
Rhode Island,4695,20,466,35,521,9.01
Louisiana,4372,4,254,81,339,12.90
Nebraska,4075,7,264,74,345,11.81
Idaho,3769,0,180,80,260,14.50
Arkansas,3127,0,346,66,412,7.59
Montana,2278,2,99,102,203,11.22
West Virginia,1795,1,196,69,266,6.75
Mississippi,1689,0,211,70,281,6.01
Alaska,1113,0,73,8,81,13.74
South Dakota,1015,0,84,63,147,6.90
Wyoming,707,4,90,75,169,4.18
North Dakota,656,0,73,61,134,4.90
